Nagaland,Urban,NA,10.1,12.4,16.1,19.2,16.1,16.4,16.3,16,15.5,15.1
Odisha,Total,33.1,28.8,23.5,22.3,21.9,21.5,21.4,21,20.5,20.1,19.9
Odisha,Rural,33.4,29.6,24,23.2,22.8,22.4,22,21.9,21.4,21,20.8
Odisha,Urban,29.3,21.6,19.7,16.3,16.2,16.1,16,15.7,15.2,14.7,14.6
Punjab,Total,30.3,27.7,21.2,18.1,17.8,17.6,17.3,17,16.6,16.2,15.9
Punjab,Rural,30.8,28.5,22.1,18.8,18.4,18.3,18,17.7,17.2,16.8,16.5
Punjab,Urban,28.5,25.6,18.7,17,16.8,16.4,16.1,15.8,15.6,15.2,14.8
Rajasthan,Total,37.1,35,31.1,28.6,28.3,27.9,27.5,27.2,26.7,26.2,25.9
Rajasthan,Rural,38.3,36,32.4,30.2,29.7,29.2,28.8,28.4,27.9,27.4,27
Rajasthan,Urban,31.2,30.3,24.8,23.8,23.9,23.7,23.5,23.2,22.9,22.5,22.1
Sikkim,Total,31,22.5,21.6,19.9,19.2,18.1,18.4,18.1,17.8,17.6,17.2
Sikkim,Rural,32.2,24.2,21.8,20.2,19.5,18.2,18.7,18.4,18.1,17.7,17.3
Sikkim,Urban,26.6,14.4,16.7,18,17.7,17.5,16.6,16,16.1,16.6,16.7
Tamil Nadu,Total,28,20.8,19.1,16.5,16.2,15.8,16,16.3,15.9,15.9,15.7
Tamil Nadu,Rural,29.7,20.8,19.6,16.9,16.5,16,16.2,16.5,16,16,15.8
Tamil Nadu,Urban,23.9,20.8,17.8,16,15.9,15.5,15.8,16,15.8,15.7,15.6
Tripura,Total,26.4,24.4,16.1,16,16.6,17.1,15.4,14.8,14.9,14.3,13.9
Tripura,Rural,27.6,25.4,16.6,16.5,17.3,17.9,16.1,15.5,15.6,15.1,14.6
Tripura,Urban,14.8,15.5,13.5,13.8,13.4,13.5,12,11.6,11.5,11,10.7
Uttarakhand,Total,NA,NA,18.5,20.9,21,20.4,20.1,19.7,19.3,18.9,18.5
Uttarakhand,Rural,NA,NA,21.1,22.1,22,21.3,21,20.6,20.2,19.7,19.1
Uttarakhand,Urban,NA,NA,16.6,16.6,17.3,17,16.5,16.3,16.2,16,15.9
Uttar Pradesh,Total,39.6,35.7,32.1,30.4,30.1,29.5,29.1,28.7,28.3,27.8,27.4
Uttar Pradesh,Rural,40.8,37.2,33.2,31.3,31,30.5,30,29.7,29.2,28.8,28.4
Uttar Pradesh,Urban,31.5,29,27,26.5,26,25.5,25.1,24.7,24.2,23.7,23.5
West Bengal,Total,33.2,27,20.6,18.8,18.4,17.9,17.5,17.2,16.8,16.3,16.1
West Bengal,Rural,37,30.3,22.9,21.2,20.7,19.8,19.4,19.1,18.6,18.1,17.8
West Bengal,Urban,20,18.5,13.8,12.6,12.3,12.7,12.4,12.1,11.9,11.5,11.5
Andaman and Nicobar Islands,Total,34,20,16.8,15.7,15.7,15.8,16.9,16.3,15.6,15.1,15
Andaman and Nicobar Islands,Rural,35.5,21.5,17.8,17.5,17.1,17.7,16.9,16.5,15.5,14.9,14.9
Andaman and Nicobar Islands,Urban,22.7,15.2,14.2,12.6,13.2,12.5,17.1,16.1,15.8,15.3,15.1
Arunachal Pradesh,Total,NA,30.9,22.2,23.3,22.5,22.2,21.8,21.1,20.5,19.8,19.4
Arunachal Pradesh,Rural,32.1,31.6,23.1,24.4,23.8,23.4,23.1,22.6,22.1,21.4,21
Arunachal Pradesh,Urban,NA,24,13,18.7,17.4,17.3,15.2,14.9,14.6,14.2,13.9
Chandigarh,Total,24.6,13.9,16.3,17.3,15.8,15.7,16.4,15.9,15.6,15,14.8
Chandigarh,Rural,32.9,19.2,20.8,23.3,23.5,23.1,22.6,22.1,21.6,21.2,20.8
Chandigarh,Urban,23.4,13.5,15.7,16.7,15.1,15,15.8,15.3,15,14.4,14.2
Dadra and Nagar Haveli,Total,NA,NA,29.5,29.4,28.1,27.8,27,27,26.6,26.1,25.6
Dadra and Nagar Haveli,Rural,36.8,31.1,30.4,29.2,27.8,27.2,26.4,26.5,26,25.5,25.1
Dadra and Nagar Haveli,Urban,NA,NA,20,30,29.4,30,29.2,28.8,28.6,28.1,27.9
Delhi,Total,26.9,24.7,18.9,18.6,18.4,18.1,18.4,18.1,17.8,17.5,17.3
Delhi,Rural,36,30.2,23.3,19,19.5,20,20.2,19.9,19.7,19.3,19.1
Delhi,Urban,25.8,24.2,18.3,18.5,18.2,17.8,18.1,17.8,17.5,17.2,17
Goa,Total,15.5,16.8,14.2,14.8,15.1,14.7,13.6,13.5,13.2,13.3,13.1
Goa,Rural,16.3,16.7,14.2,13.9,13.5,13,13.4,13,12.6,12.5,12.5
Goa,Urban,13.2,16.9,14.2,15.4,16.2,15.8,13.8,13.9,13.7,13.7,13.5
Daman and Diu,Total,NA,27.9,22.3,19.1,18.4,17.8,17.5,19.2,18.8,18.4,18.1
Daman and Diu,Rural,NA,34.6,22.7,20.6,20.2,19.5,17.3,19.6,19.1,18.8,18.4
Daman and Diu,Urban,NA,17,22,16.8,15.5,15.1,17.9,18.6,18.3,17.9,17.7
Lakshadweep,Total,NA,27.1,20.4,19.1,18.9,18.3,14.3,15,14.3,14.7,14.8
Lakshadweep,Rural,29.7,30,22.1,19,18.7,18.1,15.7,15.5,15.5,15.7,16.1
Lakshadweep,Urban,NA,23.8,18.7,19.2,19.1,18.5,12.9,14.6,13.2,13.7,13.4
Puducherry,Total,21.7,19.2,17.9,16.2,15.7,15.1,16.4,16.5,16.7,16.1,15.8
Puducherry,Rural,22.8,20,18.8,16.9,16.3,15.4,16.4,17.1,16.7,16.4,16.2
Puducherry,Urban,14.7,18.1,17.3,15.8,15.4,14.9,16.4,16.2,16.7,15.9,15.7
